248,48
242,46
250,45
240,40
243,54
236,42
233,39
238,43
242,56
235,58
246,52
232,48
239,51
238,52
230,57
250,41
250,56
239,59
235,44
239,57
249,55
236,59
239,43
237,41
232,54
231,58
249,45
241,49
249,53
246,54
240,57
243,46
235,55
231,41
249,43
234,47
236,45
243,43
237,39
238,41
248,43
244,55
233,56
245,55
230,44
230,47
230,54
244,52
236,55
244,48
247,43
232,55
232,50
232,43
240,43
241,58
233,43
230,56
239,47
249,52
246,58
243,58
250,50
236,57
238,59
234,59
234,58
236,39
237,56
247,51
243,44
243,57
238,58
245,42
239,58
238,50
239,39
239,55
249,58
250,47
238,44
244,50
235,53
234,52
244,44
250,44
240,56
242,42
245,41
250,49
249,41
233,50
241,59
248,45
245,53
230,48
241,52
232,49
248,41
250,53
250,55
246,45
236,56
248,42
250,58
230,41
249,49
232,45
250,43
236,46
249,56
230,45
231,53
231,56
233,54
249,46
235,52
239,56
244,43
248,47
233,40
249,57
233,42
240,39
239,52
243,50
246,59
250,39
237,59
246,44
247,47
235,39
246,46
49,205
44,208
44,220
42,215
37,216
38,209
30,218
33,211
33,218
46,220
33,204
48,209
32,210
38,208
33,210
41,212
30,219
40,206
30,200
42,217
31,202
39,217
36,207
36,218
39,213
33,207
45,200
43,207
50,213
41,213
45,201
41,206
30,211
41,205
44,205
30,220
40,220
49,202
43,214
48,205
45,207
33,209
36,202
33,201
45,211
42,214
36,217
50,217
48,201
50,200
40,202
43,219
50,211
35,214
47,208
34,205
40,204
49,200
39,203
49,211
39,209
39,202
36,215
46,218
46,206
40,203
42,200
46,207
42,208
32,200
42,206
44,206
43,204
37,205
42,212
35,218
31,218
40,207
45,219
42,205
39,200
37,208
35,213
44,207
44,210
46,215
49,207
37,209
30,203
49,206
46,200
35,215
42,218
32,204
30,215
36,213
33,213
38,206
46,202
46,203
37,202
35,216
34,203
38,200
39,216
49,219
47,202
46,209
44,216
48,204
30,204
50,202
45,205
30,212
32,201
41,201
47,218
48,200
40,214
37,210
47,201
